A1	Jean-Paul Calbimonte
A498	Christopher J. Matheus
A499	Jerzy Letkowski
A500	Jean Lieber
A501	Thomas Meilender
A502	Fadi Badra
A503	Peter De Baer
A504	Yan Tang
A505	Pieter De Leenheer
A506	Jean-François Baget
A507	Xi Bai
A508	Domagoj Vrgoc
A509	Jorge Baier
A510	Dietrich Daroch
A511	Juan L. Reutter
A512	Matthew Horridge
A513	Samantha Bail
A514	Edoardo Pignotti
A515	Peter Edwards
A516	Chris Colin Baillie
A517	David Corsar
A518	Jaroslaw Bak
A519	Michal Blinkiewicz
A520	José Luis Borbinha
A521	Marzieh Bakhshandeh
A522	Karun Bakshi
A523	David R. Karger
A524	Aynaz Taheri
A525	Booma S. Balasubramani
A526	Jasper Oosterman
A527	Alessandro Bozzon
A528	Stefano Bocconi
A529	Mikalai Tsytsarau
A530	Themis Palpanas
A531	Yi Huang
A532	Cristian Confalonieri
A533	Bhuvan Bamba
A534	Sougata Mukherjea
A535	Tobias Kuhn
A536	Nigam H. Shah
A537	Michel Dumontier
A538	Juan M. Banda
A539	Thomas Bandholtz
A540	Vasant Honavar
A541	Jie Bao
A542	Doina Caragea
A543	Deborah L. McGuinness
A544	Li Ding
A545	Luis Landaeta
A546	Alexandra La Cruz
A547	Alexander Baranya
A548	Sameem Abdul Kareem
A549	Payam M. Barnaghi
A550	Mirko Presser
A551	Abraham Bernstein
A552	Cosmin Basca
A553	Amna Basharat
A554	Khaled Rasheed
A555	Marco Cammisa
A556	Emanuele Donati
A557	Roberto Basili
A558	Matthias Klusch
A559	Ulrich Basters
A560	Stefan Zander
A561	Georg Heppner
A562	Ana Sasa
A563	Nadia Ahmed
A564	Peter Haase 
A565	Andra Waagmeester
A566	Alasdair J. G. Gray
A567	Lee Harland
A568	Christian Y. A. Brenninkmeijer
A569	Antonis Loizou
A570	Ian Dunlop
A571	John P. Overington
A572	Jon Steele
A573	Valery Tkachenko
A574	Daniela Digles
A575	Christine Chichester
A576	Colin R. Batchelor
A577	Mark Davies
A578	Antony J. Williams
A579	Chris T. A. Evelo
A580	Steve Pettifer
A581	Anna Gaulton
A582	Egon L. Willighagen
A583	Robert Stevens
A584	Karen Karapetyan
A585	Paul T. Groth
A586	Alexander De Leon Battista
A587	Natalia Villanueva-Rosales
A588	Myroslav Palenychka
A589	James Leigh
A590	David Wood
A591	Luke Ruth
A592	Steve Battle
A593	Christian Baumann
A594	Sean Bechhofer
A595	Ian Horrocks
A596	Simon Harper
A597	Darren Lunn
A598	Raphael Volz
A599	Phillip Lord
A600	Harald Beck
A601	Christian Becker
A602	Mark Greaves
A603	Michael Erdmann
A604	Karin Becker
A605	Shiva Jahangiri
A606	Stefan Schlobach
A607	Wouter Beek
A608	Sander Latour
A609	Laurens Rietveld
A610	Hamid R. Bazoobandi
A611	Clifford Behrens
A612	Vipul Kashyap
A613	Elena Beisswanger
A614	Samia Beldjoudi
A615	Hassina Seridi-Bouchelaghem
A616	Catherine Faron-Zucker
A617	Khalid Belhajjame
A618	Suzanne M. Embury
A619	Stefan Belk
A620	Gerhard Wohlgenannt
A621	Mark Lycett
A622	David Bell
A623	Bahareh Rahmanzadeh Heravi
A624	Gábor Bella
A625	Fiona McNeill
A626	Ahmed AbuRa'ed
A627	Annelies Kaptein
A628	Pieter Bellekens
A629	Kees van der Sluijs
A630	Sylvain Gatepaille
A631	Jean-Philippe Kotowicz
A632	Habib Abdulrab
A633	Amandine Bellenger
A634	Fabrizio Riguzzi
A635	Elena Bellodi
A636	Simone Albani
A637	Evelina Lamma
A638	Abigail Tarem
A639	Tamar Domany
A640	David Ben-David
A641	Mohand-Said Hacid
A642	Farouk Toumani
A643	Christophe Rey
A644	Boualem Benatallah
A645	Hamid R. Motahari Nezhad
A646	Rimel Bendadouche
A647	Kun Mean Hou
A648	Jean-Pierre Chanet
A649	Catherine Roussey
A650	Gil De Sousa
A651	Sonia Bergamaschi
A652	Fabio Benedetti
A653	Laura Po
A654	Maurizio Vincini
A655	Domenico Beneventano
A656	Francesco Guerra 
A657	Daniele Montanari
A658	Andreas Thor
A659	Joseph Benik
A660	Louiqa Raschid
A661	David Cadenas
A662	Josu Gómez
A663	V. Richard Benjamins
A664	Pedro Alonso
A665	Antonio S. Valderrabanos
A666	Joost Breuker
A667	Pompeu Casanovas
A668	Lissette Lemus
A669	José Manuel López Cobo
A670	Jesús Contreras
A671	Romina Spalazzese
A672	Valérie Issarny
A673	Shashank Tyagi
A674	Amel Bennaceur
A675	Edward Benson
A676	Fabian Howahl
A677	Adam Marcus 
A678	Stanislav Beran
A679	Bettina Berendt
A680	Andreas Hotho
A681	Gerd Stumme
A682	Manolis Koubarakis
A683	Konstantina Bereta
A684	Charalampos Nikolaou
A685	Manos Karpathiotakis
A686	Kostis Kyzirakos
A687	Thomas Bergwinkl
A688	Anique van Berne
A689	Véronique Malaisé
A690	Philip A. Bernstein
A691	Mark Klein
A692	Esther Kaufmann
A693	Anne Göhring
A694	Christoph Kiefer
A695	Isabelle Berrien
A696	François Laburthe
A697	Jean-David Ruvini
A698	David Berry
A699	Nadeschda Nikitina
A700	Paolo Besana
A701	Anita Burgun-Parenthoine
A702	Marc Cuggia
A703	Annabel Bourde
A704	Oussama Zekri
A705	Dave Robertson
A706	John Beecher-Deighan
A707	Wayne L. Bethea
A708	Clayton Fink
A709	Nuno Bettencourt
A710	João Barroso
A711	Nuno Silva
A712	Heiko Betz
A713	Kai-Uwe Sattler
A714	Katja Hose
A715	Francis Gropengießer
A716	Chandra Bhagavatula
A717	Thanapon Noraset
A718	Doug Downey
A719	Mark A. Greenwood
A720	Ajay Chakravarthy
A721	Fabio Ciravegna
A722	José Iria
A723	Aba-Sah Dadzie
A724	Ravish Bhagdev
A725	Jonathan Butters
A726	Sam Chapman
A727	Vitaveska Lanfranchi
A728	Andreas Abecker
A729	Radoslav Nedkov
A730	Veli Bicer
A731	Rudi Studer
A732	Yongtao Ma
A733	Nikos Bikakis
A734	Chrisa Tsinaraki
A735	Stavros Christodoulakis
A736	Ioannis Stavrakantonakis
A737	Debmalya Biswas
A738	Robert Meusel
A739	Hannes Mühleisen
A740	Johanna Völker
A741	Michael Schuhmacher
A742	Andreas Schultz
A743	Alberto Reggiori
A744	Zavisa Bjelogrlic
A745	Dirk-Willem van Gulik
A746	Berkant Barla Cambazoglu
A747	Nicolas Torzec
A748	Sebastiano Vigna
A749	Stephan Bloehdorn
A750	York Sure-Vetter
A751	Eva Blomqvist
A752	Don McGarry
